accuracy,dice_coef,iou_score,loss,val_accuracy,val_dice_coef,val_iou_score,val_loss,learning_rate
0.9888679385185242,0.9813551902770996,0.963428258895874,0.02283567748963833,0.984160840511322,0.973071813583374,0.9476891160011292,0.035740677267313004,0.00020000000949949026
0.98915696144104,0.9811986088752747,0.9631209373474121,0.022487465292215347,0.9869887828826904,0.97637540102005,0.9539337754249573,0.02841901406645775,4.0000002627493814e-05
0.98972088098526,0.982093870639801,0.9648689031600952,0.021658990532159805,0.9858921766281128,0.9762077331542969,0.9535824656486511,0.03096238523721695,4.0000002627493814e-05
0.9896335005760193,0.9821915626525879,0.9650490283966064,0.021881595253944397,0.9867786169052124,0.9757372736930847,0.952743649482727,0.030117474496364594,4.0000002627493814e-05
0.9897002577781677,0.9813342094421387,0.9634373188018799,0.021715903654694557,0.986967146396637,0.9765326976776123,0.9543074369430542,0.03017500229179859,4.0000002627493814e-05
0.9894081950187683,0.9823595881462097,0.9653564095497131,0.02169402875006199,0.9868993163108826,0.9786521792411804,0.958225429058075,0.02797643654048443,4.0000002627493814e-05
0.9892895817756653,0.9754490852355957,0.9560567736625671,0.025904834270477295,0.9872214794158936,0.9778672456741333,0.9567591547966003,0.028443558141589165,8.000000889296643e-06
0.9895091652870178,0.9821693301200867,0.9649959206581116,0.02168487384915352,0.9861363768577576,0.9774104356765747,0.9559053182601929,0.0300202164798975,8.000000889296643e-06
0.989846408367157,0.9828312397003174,0.9662973880767822,0.021031878888607025,0.9872367978096008,0.9784585237503052,0.9578586220741272,0.027512874454259872,8.000000889296643e-06
0.9897668957710266,0.9813260436058044,0.9633748531341553,0.021931780502200127,0.9869161248207092,0.9764686822891235,0.9541101455688477,0.031052442267537117,8.000000889296643e-06
0.9897028803825378,0.9817479848861694,0.964192271232605,0.021815020591020584,0.9869392514228821,0.9763238430023193,0.9538501501083374,0.029877038672566414,8.000000889296643e-06
